Sample Name,CT,Quantity,rep
10A0,No Amp,,1
10A0,No Amp,,2
10A0,No Amp,,3
A110.19,No Amp,,1
A110.19,No Amp,,2
A110.19,No Amp,,3
10A2,No Amp,,1
10A2,36.15,1.88,2
10A2,No Amp,,3
10A3,No Amp,,1
10A3,36.11,1.93,2
10A3,36.14,1.89,3
10B21,36.88,1.14,1
10B21,36.98,1.06,2
10B21,35.35,3.24,3
10B24,No Amp,,1
10B24,No Amp,,2
10B24,No Amp,,3
10BX,No Amp,,1
10BX,No Amp,,2
10BX,No Amp,,3
10C39,No Amp,,1
10C39,36.2,1.82,2
10C39,No Amp,,3
10C42,No Amp,,1
10C42,No Amp,,2
10C42,No Amp,,3
10C46,No Amp,,1
10C46,No Amp,,2
10C46,No Amp,,3
10CX,33.55,11.12,1
10CX,33.95,8.42,2
10CX,No Amp,,3
10D10,No Amp,,1
10D10,35.9,2.23,2
10D10,36.84,1.17,3
10D2,33.55,11.09,1
10D2,35.34,3.26,2
10D2,35.33,3.28,3
10D4,34.84,4.6,1
10D4,35.67,2.61,2
10D4,34.28,6.75,3
10DX,33.18,14.35,1
10DX,35.01,4.1,2
10DX,34.94,4.3,3
10E,33.53,11.24,1
10E,34.3,6.64,2
10E,34.83,4.63,3
10LX,27.44,723.3,1
10LX,27.57,662.29,2
10LX,27.92,522.15,3
10P,33.62,10.57,1
10P,33.24,13.72,2
10P,35.08,3.89,3
A14.12,No Amp,,1
A14.12,No Amp,,2
A14.12,No Amp,,3
4A2,No Amp,,1
4A2,No Amp,,2
4A2,No Amp,,3
4A3,33.1,15.08,1
4A3,34.4,6.21,2
4A3,33.7,10.03,3
4B21,31.27,52.63,1
4B21,31.59,42.38,2
4B21,31.97,32.64,3
4B24,36.4,1.58,1
4B24,34.72,4.99,2
4B24,39.91,0.14,3
4B31,34.41,6.18,1
4B31,35.42,3.09,2
4B31,34.8,4.73,3
4BX,33.89,8.79,1
4BX,34.24,6.95,2
4BX,34.17,7.25,3
4C42,30.7,77.96,1
4C42,31.85,35.63,2
4C42,31.52,44.48,3
4CX,31.98,32.44,1
4CX,32.3,26.16,2
4CX,32.18,28.31,3
4DX,30.68,78.81,1
4DX,30.92,66.98,2
4DX,30.65,80.55,3
4LX,24.6,5045.63,1
4LX,25.32,3083.77,2
4LX,25.42,2890.13,3
4P,28.27,409.48,1
4P,27.8,564.32,2
4P,28.87,271.62,3
A15.6,No Amp,,1
A15.6,No Amp,,2
A15.6,No Amp,,3
5A2,37.31,0.85,1
5A2,35.46,3.01,2
5A2,No Amp,,3
5A3,34.86,4.55,1
5A3,33.5,11.49,2
5A3,34.45,6.02,3
5B21,No Amp,,1
5B21,36.03,2.04,2
5B21,No Amp,,3
5B31,36.08,1.97,1
5B31,No Amp,,2
5B31,No Amp,,3
5BX,No Amp,,1
5BX,No Amp,,2
5BX,35.64,2.65,3
5C42,35.62,2.7,1
5C42,36.98,1.07,2
5C42,35.44,3.05,3
5CX,39.04,0.26,1
5CX,No Amp,,2
5CX,No Amp,,3
5D10,No Amp,,1
5D10,36.91,1.11,2
5D10,No Amp,,3
5D4,36.46,1.52,1
5D4,35.84,2.32,2
5D4,No Amp,,3
5DX,35.34,3.27,1
5DX,33.74,9.75,2
5DX,33.41,12.23,3
5E,36.01,2.06,1
5E,No Amp,,2
5E,36.19,1.82,3
5LX,29.7,154.97,1
5LX,29.77,147.59,2
5LX,30.34,99.81,3
5P,29.54,172.43,1
5P,29.33,199.35,2
5P,30.28,104.21,3
6A2,No Amp,,1
6A2,No Amp,,2
6A2,No Amp,,3
6B24,36.99,1.06,1
6B24,35.97,2.13,2
6B24,No Amp,,3
6DX,No Amp,,1
6DX,No Amp,,2
6DX,No Amp,,3
6LX,32.4,24.35,1
6LX,32.11,29.65,2
6LX,32.93,16.95,3
A17.14,No Amp,,1
A17.14,No Amp,,2
A17.14,No Amp,,3
7A2,No Amp,,1
7A2,No Amp,,2
7A2,No Amp,,3
7A3,36.27,1.73,1
7A3,No Amp,,2
7A3,No Amp,,3
7B21,34.33,6.5,1
7B21,35.05,3.99,2
7B21,38.16,0.47,3
7B24,No Amp,,1
7B24,No Amp,,2
7B24,No Amp,,3
7BX,No Amp,,1
7BX,No Amp,,2
7BX,36.22,1.79,3
7C39,34.37,6.34,1
7C39,36.95,1.08,2
7C39,No Amp,,3
7C42,37.06,1.01,1
7C42,No Amp,,2
7C42,No Amp,,3
7C46,34.82,4.65,1
7C46,35.16,3.7,2
7C46,37.18,0.93,3
7CX,34.88,4.47,1
7CX,36.24,1.77,2
7CX,No Amp,,3
7D10,33.8,9.38,1
7D10,33.6,10.71,2
7D10,34.75,4.9,3
7D2,33.73,9.82,1
7D2,34.05,7.9,2
7D2,34.44,6.03,3
7D4,33.95,8.44,1
7D4,34.21,7.06,2
7D4,36.46,1.52,3
7DX,38.95,0.28,1
7DX,No Amp,,2
7DX,35.44,3.05,3
7E,36.62,1.36,1
7E,37.23,0.9,2
7E,No Amp,,3
7LX,33.62,10.61,1
7LX,33.7,10.05,2
7LX,33.6,10.77,3
7P,29.85,139.22,1
7P,29.9,134.74,2
7P,30.23,107.38,3
8A0,No Amp,,1
8A0,No Amp,,2
8A0,No Amp,,3
A18.5,No Amp,,1
A18.5,No Amp,,2
A18.5,No Amp,,3
8A2,35.59,2.76,1
8A2,34.87,4.51,2
8A2,37.81,0.61,3
8A3,No Amp,,1
8A3,36.35,1.64,2
8A3,No Amp,,3
8B24,No Amp,,1
8B24,35.83,2.33,2
8B24,No Amp,,3
8BX,36.09,1.95,1
8BX,35.44,3.05,2
8BX,35.96,2.14,3
8C42,No Amp,,1
8C42,No Amp,,2
8CX,34.24,6.94,1
8CX,No Amp,,2
8CX,36.39,1.6,3
8D4,33.8,9.35,1
8D4,33.77,9.55,2
8D4,35.11,3.82,3
8DX,35.06,3.95,1
8DX,33.42,12.14,2
8DX,34.69,5.1,3
8E,33.97,8.34,1
8E,35.62,2.7,2
8E,No Amp,,3
8LX,33.28,13.39,1
8LX,32.52,22.47,2
8LX,31.88,34.69,3
8P,32.99,16.33,1
8P,35.15,3.71,2
8P,38.95,0.28,3
9A0,39.76,0.16,1
9A0,No Amp,,2
9A0,No Amp,,3
A19.15,No Amp,,1
A19.15,No Amp,,2
A19.15,No Amp,,3
9A2,36.8,1.2,1
9A2,35.79,2.41,2
9A2,No Amp,,3
9A3,36.07,1.99,1
9A3,No Amp,,2
9A3,No Amp,,3
9B21,34.42,6.14,1
9B21,No Amp,,2
9B21,No Amp,,3
9B24,38.89,0.29,1
9B24,No Amp,,2
9B24,35.96,2.14,3
9BX,35.43,3.07,1
9BX,35.41,3.11,2
9BX,36.03,2.04,3
9C39,36.04,2.02,1
9C39,34.28,6.74,2
9C39,35.81,2.37,3
9C42,31.97,32.79,1
9C42,31.42,47.52,2
9C42,31.56,43.4,3
9C46,35.3,3.36,1
9C46,35.7,2.55,2
9C46,34.58,5.48,3
9CX,35.51,2.91,1
9CX,36.21,1.8,2
9CX,No Amp,,3
9D10,36.63,1.35,1
9D10,No Amp,,2
9D10,34.64,5.26,3
9D2,35.03,4.04,1
9D2,34.48,5.88,2
9D2,No Amp,,3
9D4,35.99,2.09,1
9D4,No Amp,,2
9D4,No Amp,,3
9DX,34.88,4.48,1
9DX,35.71,2.54,2
9E,No Amp,,1
9E,36.9,1.12,2
9E,No Amp,,3
9LX,36.18,1.85,1
9LX,No Amp,,2
9LX,No Amp,,3
9P,34.25,6.9,1
9P,35.93,2.18,2
9P,33.22,13.94,3
NTC,No Amp,,1
NTC,No Amp,,2
NTC,No Amp,,3
NX1,No Amp,,1
NX1,No Amp,,2
NX1,No Amp,,3
NX2,No Amp,,1
NX2,No Amp,,2
NX2,No Amp,,3
NX3,No Amp,,1
NX3,No Amp,,2
NX3,No Amp,,3
STANDARD,31.67,50,
STANDARD,31.23,50,
STANDARD,30.77,50,
STANDARD,27.75,500,
STANDARD,28.22,500,
STANDARD,28.38,500,
STANDARD,24.71,5000,
STANDARD,24.67,5000,
STANDARD,24.56,5000,
STANDARD,21.44,50000,
STANDARD,21.27,50000,
STANDARD,21.17,50000,
STANDARD,17.96,500000,
STANDARD,17.73,500000,
STANDARD,17.68,500000,
3.25LX,26.18,,
3.25LX,26.18,,
3.25LX,26.18,,
3.8LX,27.72,,
3.8LX,27.72,,
3.8LX,27.72,,
A13.8,No Amp,,1
A13.8,No Amp,,2
A13.8,No Amp,,3
A13.25,No Amp,,1
A13.25,No Amp,,2
A13.25,No Amp,,3
A16.16,No Amp,,1
A16.16,No Amp,,2
A16.16,No Amp,,3
